Disease ID,Disease Name,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
C0007194,Hypertrophic Cardiomyopathy,0.428571429,0.1,-0.009333216,2.790598291,0.1479214
C0752166,Bardet-Biedl Syndrome,0.636363636,0.177489177,-0.001518308,2.797619048,0.1038529
C0022548,Keloid,0.085714286,0.042016807,-0.00794444,2.416446208,0.193729
C0025202,melanoma,0.450980392,0.011832319,-0.042517726,3.267705827,0.04972686
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.523809524,0.123809524,-0.007963287,2.707438017,0.0919546
C0032285,Pneumonia,0.212765957,0.049953747,-0.005821056,3.068769231,0.02102817
C0033805,Pseudohypoaldosteronism,0.272727273,0.145454545,-0.001304097,2.7,0.7441715
C0027708,Nephroblastoma,0.1875,0.066666667,-0.004407761,3.001683502,0.1549291
C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,0.714285714,0.450549451,-0.001989916,3.06,0.000157123
C1140680,Malignant neoplasm of ovary,0.466666667,0.104761905,-0.004166656,2.79047619,0.05622516
C0031511,Pheochromocytoma,0.3125,0.133333333,-0.003155255,2.674545455,0.8522233
C1336708,Testicular Germ Cell Tumor,0.083333333,0.047101449,-0.002543127,2.842105263,0.4024019
C0020619,Hypogonadism,0.142857143,0.087912088,-0.000673804,3.151785714,0.2123214
C0026650,Movement Disorders,0.142857143,0.038095238,-0.002169367,2.810457516,0.7202715
C1261473,Sarcoma,0.307692308,0.179487179,-0.006276126,2.375,0.8797582
C0024232,Lymphatic Metastasis,0.214285714,0.098901099,-0.003761563,2.651515152,0.3684381
C0020615,Hypoglycemia,0.1,0.177777778,-0.001786807,2.422222222,0.5306679
C0002895,"Anemia, Sickle Cell",0.2,0.155555556,-0.002658894,2.611111111,0.292228
C0238288,"Muscular Dystrophy, Facioscapulohumeral",0.153846154,0.076923077,-0.002902441,2.604166667,0.08391935
C1527249,Colorectal Cancer,0.138888889,0.023809524,-0.00439318,2.980634921,0.9916762
C0004153,Atherosclerosis,0.290909091,0.041077441,-0.012846743,2.814749053,0.036325
C0004096,Asthma,0.14159292,0.013274336,-0.016616874,3.210005597,0.8805013
C0949658,"Cardiomyopathy, Hypertrophic, Familial",0.260869565,0.071146245,-0.002285302,3.018925519,0.7848518
C0037286,Skin Neoplasms,0.632653061,0.071428571,-0.018207796,3.001478495,0.334349
C0036572,Seizures,0.09375,0.014912281,-0.00941731,3.062162652,0.0848537
C0002395,Alzheimer's Disease,0.431137725,0.014068249,-0.028354337,3.403283874,0.899616
C0567312,Menopause present (finding),0.047619048,0.023809524,-0.002118835,2.882352941,0.4420908
C0027672,"Neoplastic Syndromes, Hereditary",0.6875,0.121453901,-0.018007725,2.527441077,0.003495649
C0017178,Gastrointestinal Diseases,0.166666667,0.060606061,-0.001404704,2.933333333,0.08899683
C0268237,Cytochrome-c Oxidase Deficiency,0.294117647,0.036764706,-0.000809857,3,0.9788887
C0035304,Retinal Degeneration,0.266666667,0.095238095,-0.002311837,2.966666667,0.2198556
C0035309,Retinal Diseases,0.095238095,0.066666667,-0.004479028,2.663157895,0.4709427
C0268583,Methylmalonic acidemia,0.2,0.155555556,-0.001472821,2.571428571,0.3813726
C0011616,Contact Dermatitis,0.23943662,0.024547284,-0.012644728,3.010680333,0.7786979
C0011615,"Dermatitis, Atopic",0.137254902,0.025098039,-0.004086703,3.131746032,0.9421222
C0010068,Coronary heart disease,0.132352941,0.013608428,-0.006208245,3.224448186,0.9270785
C0029456,Osteoporosis,0.373134328,0.029850746,-0.013535181,2.894367201,0.3252675
C0018800,Cardiomegaly,0.626865672,0.048846676,-0.015804163,2.954968944,0.4186141
C0018801,Heart failure,0.4125,0.031012658,-0.012374593,3.113496072,0.7502571
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,1,0.472527473,-0.008338911,N/A,0.04878294
C1269683,Major Depressive Disorder,0.048780488,0.013414634,-0.002471898,3.120689655,0.9999092
C0037274,Dermatologic disorders,0.075757576,0.019114219,-0.0088613,3.004567622,0.02185068
C0349788,Arrhythmogenic Right Ventricular Dysplasia,0.4,0.244444444,-0.003205608,2.369047619,0.1423001
C0021368,Inflammation,0.290909091,0.019516264,-0.01314425,3.012414499,0.3120243
C0011882,Diabetic Neuropathies,0.230769231,0.166666667,-0.002745044,2.490909091,0.972455
C0021364,Male infertility,0.333333333,0.046464646,-0.01242932,3.204016354,0.1794504
C0042373,Vascular Diseases,0.125,0.083333333,-0.002032915,2.903846154,0.08879035
C0021361,Female infertility,0.333333333,0.111111111,-0.01041387,2.960580065,0.1083504
C0023418,leukemia,0.375,0.086693548,-0.009636187,2.553819444,0.2482728
C0009324,Ulcerative Colitis,0.14893617,0.015557081,-0.012829484,3.107606679,0.9981017
C0021400,Influenza,0.288461538,0.029411765,-0.004361522,3.314708995,0.7470464
C0027707,"Nephritis, Interstitial",0.2,0.177777778,-0.001150087,2.8125,0.1445884
C1527336,Sjogren's Syndrome,0.166666667,0.136363636,-0.001875755,2.763636364,0.4029131
C0455806,Infant length,0.090909091,0.018181818,-0.001410576,3.145454545,0.09862119
C0008074,"Child Development Disorders, Pervasive",0.053571429,0.020779221,-0.004533063,2.939613527,0.6467946
C0038587,Substance Withdrawal Syndrome,0.169811321,0.034107402,-0.006437292,3.30400596,0.8807011
C1955869,Malformations of Cortical Development,0.181818182,0.090909091,-0.003030176,2.354166667,0.5899105
C0002736,Amyotrophic Lateral Sclerosis,0.347222222,0.026995305,-0.018185213,3.076761134,0.09517155
C0008073,Developmental Disabilities,0.1,0.042105263,-0.003297576,2.68627451,0.04334964
C0009952,Febrile Convulsions,0.083333333,0.060606061,-0.001697909,3.236363636,0.80332
C0008370,Cholestasis,0.20754717,0.021770682,-0.007828713,2.988733489,1
C0020542,Pulmonary Hypertension,0.09375,0.04233871,-0.00355049,3.121082621,0.3137944
C0238463,Papillary thyroid carcinoma,0.592592593,0.0997151,-0.012851202,2.352083333,0.24096
C0455988,"Hydrops Fetalis, Non-Immune",0.230769231,0.08974359,-0.000685608,3.244444444,0.3028252
C0400966,Non-alcoholic Fatty Liver Disease,0.071428571,0.031358885,-0.006174583,2.973809524,0.1876692
C0009319,Colitis,0.375,0.09057971,-0.00550576,3.002777778,0.1810749
C0699790,Colon Carcinoma,0.64,0.116666667,-0.008739338,2.628472222,0.070163
C0020445,"Hypercholesterolemia, Familial",0.4375,0.133333333,-0.001401844,2.761904762,0.1230435
C0003123,Anorexia,0.266666667,0.114285714,-0.00151138,3.045454545,0.5286891
C0149931,Migraine Disorders,0.090909091,0.026515152,-0.005382971,2.999470899,0.9843914
C0005695,Bladder Neoplasm,0.567567568,0.03046683,-0.031672008,3.115489556,0.03929361
C0018784,Sensorineural Hearing Loss (disorder),0.181818182,0.109090909,-0.002098114,2.678571429,0.1987659
C0524620,Metabolic Syndrome X,0.068181818,0.021141649,-0.004923503,2.863624339,0.9219256
C0018781,Noise-induced hearing loss,0.090909091,0.012987013,-0.000194941,2.916666667,0.9993405
C0023467,"Leukemia, Myelocytic, Acute",0.495652174,0.021357742,-0.023857979,2.867143191,0.01421534
C0376358,Malignant neoplasm of prostate,0.205128205,0.014652015,-0.012174251,3.007912458,0.3964986
C1319853,"Asthma, Aspirin-Induced",0.153846154,0.08974359,-0.000520021,3.418181818,0.2658154
C0265275,Jeune thoracic dystrophy,0.1,0,-0.000502266,3.25,0.1904782
C0007134,Renal Cell Carcinoma,0.503937008,0.020122485,-0.027573908,3.00992289,0.009715004
C0007137,Squamous cell carcinoma,0.790697674,0.070314637,-0.036786311,3.095710784,0.1897282
C0007131,Non-Small Cell Lung Carcinoma,0.658119658,0.02991453,-0.02996077,3.047473535,0.8124602
C0677050,Manganese Poisoning,0.181818182,0.218181818,-0.004318241,2.638888889,0.6503064
C0242698,"Ventricular Dysfunction, Left",0.2,0.114285714,-0.003152001,2.739316239,0.2517915
C0007138,"Carcinoma, Transitional Cell",0.612903226,0.11827957,-0.012579916,2.935897436,0.1141908
C0026691,Mucocutaneous Lymph Node Syndrome,0.153846154,0.051282051,-0.001271435,3.055555556,0.7657018
C0040336,Tobacco Use Disorder,0.090909091,0.072727273,-0.000703314,3.036363636,0.1772253
C0033687,Proteinuria,0.368421053,0.058321479,-0.00743658,2.859872012,0.2501572
C0011881,Diabetic Nephropathy,0.128205128,0.051282051,-0.00712715,2.799275362,0.3788897
C0007959,Charcot-Marie-Tooth Disease,0.1,0.034482759,-0.005753234,2.814009662,0.02691746
C0029172,Oral Submucous Fibrosis,0.466666667,0.180952381,-0.001707108,2.834183673,0.9928931
C0001430,Adenoma,0.34375,0.052419355,-0.010402596,2.898858717,0.3378406
C0027947,Neutropenia,0.153846154,0.064102564,-0.000685583,3.015151515,0.2675601
C1843367,Poor school performance,0.076923077,0.038461538,-0.001407615,2.935897436,0.7811459
C0032273,Pneumoconiosis,0.071428571,0.065934066,-0.001724577,3.230769231,0.4342478
C0007222,Cardiovascular Diseases,0.230769231,0.029411765,-0.006334185,2.923346561,0.6140563
C1561955,Fibrinogen Adverse Event,0.090909091,0.017316017,-0.001209267,3.011029412,0.7188368
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",0.433526012,0.014383654,-0.025156091,3.050177712,0.8398863
C0040034,Thrombocytopenia,0.304347826,0.075098814,-0.002825526,2.882312925,0.1447014
C0036920,Sezary Syndrome,0.615384615,0.132307692,-0.012038993,2.721527778,0.3289237
C1112705,Nuclear non-senile cataract,0.416666667,0.181818182,-0.000434324,2.857142857,0.3814985
C0011884,Diabetic Retinopathy,0.105263158,0.064327485,-0.003190634,2.760989011,0.9770878
C1384666,hearing impairment,0.023255814,0.015503876,-0.004243634,2.957983193,0.7806378
C0033975,Psychotic Disorders,0.2,0.073684211,-0.008181336,2.653846154,0.4554533
C0003469,Anxiety Disorders,0.189189189,0.037537538,-0.009613054,3.131901311,0.2094644
C1261502,Finding of Mean Corpuscular Hemoglobin,0.2,0.076190476,-0.001532061,2.846153846,0.3396008
C0022665,Kidney Neoplasm,0.37037037,0.116809117,-0.008096766,2.703888889,0.417045
C0026603,Motion Sickness,0.058823529,0.007352941,-0.00102279,2.989010989,0.929399
C0024305,"Lymphoma, Non-Hodgkin",0.227272727,0.103896104,-0.005926935,2.986263736,0.1815043
C0024301,"Lymphoma, Follicular",0.130434783,0.063241107,-0.004431674,2.902777778,0.8913384
C0040028,"Thrombocythemia, Essential",0.25,0.151515152,-0.004508902,2.540740741,0.1560202
C0003864,Arthritis,0.1,0.066666667,-0.001318783,3.222222222,0.07593672
C0020649,Hypotension,0.094339623,0.030478955,-0.004241797,3.040908013,0.5264846
C0035126,Reperfusion Injury,0.576470588,0.050140056,-0.02211275,2.89967919,0.7592898
C0018843,Heat Stroke,0.75,0.454545455,-0.006463163,2.055555556,0.04056098
C0018923,Hemangiosarcoma,0.611111111,0.189542484,-0.009340063,2.913636364,0.1345247
C0013182,Drug Allergy,0.085714286,0.033613445,-0.004962273,3.144252874,0.5769154
C1840235,SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR,0.214285714,0.076923077,-0.000928176,3.246296296,0.7890315
C0025149,Medulloblastoma,0.533333333,0.052525253,-0.01096955,2.775548246,0.1563314
C0008924,Cleft Lip,0.346153846,0.104615385,-0.004874218,2.970975783,0.5546664
C0008925,Cleft Palate,0.325,0.073076923,-0.007585274,2.705646682,0.09777549
C0151786,Muscle Weakness,0.193548387,0.011687705,-0.01457216,3.261973775,0.4089732
C0027643,"Neoplasm Recurrence, Local",0.48,0.116666667,-0.012926929,2.737179487,0.4069288
C0004114,Astrocytoma,0.541666667,0.152173913,-0.011382235,2.544017094,0.2556205
C1260899,"Anemia, Diamond-Blackfan",0.875,0.683333333,-0.008794028,2,4.71E-09
C1565489,Renal Insufficiency,0.4,0.2,-0.00094887,2.857142857,0.6211644
C0025286,Meningioma,0.25,0.196969697,-0.002855073,2.734126984,0.5944575
C0006625,Cachexia,0.3,0.2,-0.001644665,2.714285714,0.2748049
C0035229,Respiratory Insufficiency,0.090909091,0.072727273,-0.001200365,2.836363636,0.1670525
C0035228,Respiratory Hypersensitivity,0.166666667,0.078431373,-0.003214467,2.828571429,0.04605231
C2931822,Nasopharyngeal carcinoma,0.545454545,0.103896104,-0.007903285,2.81712963,0.2692301
C0020429,Hyperalgesia,0.267605634,0.032193159,-0.008595384,3.35168855,0.991682
C0339527,Leber Congenital Amaurosis,0.090909091,0.017316017,-0.002436288,3.068421053,0.4190322
C1720824,Sudden Cardiac Arrest,0.117647059,0.044117647,-0.003122229,2.857142857,0.4632961
C3714756,Intellectual Disability,0.054263566,0.00811531,-0.017929977,2.923846674,0.1382949
C0018213,Graves Disease,0.043478261,0.027667984,-0.000936985,3.019047619,0.7448063
C0235032,Neurotoxicity Syndromes,0.346153846,0.055384615,-0.004574948,3.360929557,0.7046833
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",0.2,0.088888889,-0.000845293,2.486111111,0.1296658
C0004238,Atrial Fibrillation,0.192307692,0.049230769,-0.002567009,2.984415584,0.8549775
C0019189,"Hepatitis, Chronic",0.454545455,0.12987013,-0.005243641,2.631111111,0.3829675
C0004943,Behcet Syndrome,0.111111111,0.071225071,-0.003357389,2.948075527,0.996055
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.116883117,0.015721121,-0.006681617,3.241029673,0.9242227
C0011853,"Diabetes Mellitus, Experimental",0.745283019,0.037735849,-0.022484905,3.111219301,0.1120142
C0242422,Parkinsonian Disorders,0.391304348,0.114624506,-0.006800745,2.800976801,0.6822322
C0027540,Necrosis,0.442307692,0.049773756,-0.016624846,2.911556559,0.3080586
C0085207,Gestational Diabetes,0.166666667,0.106060606,-0.001955793,2.818181818,0.3166655
C0086445,Idiopathic Membranous Glomerulonephritis,0.095238095,0.028571429,-0.002489704,3.019047619,0.8630417
C0020517,Hypersensitivity,0.19047619,0.033794163,-0.007177553,3.12215873,0.330076
C0027092,Myopia,0.085714286,0.023529412,-0.004643168,3.172962963,0.9817712
C0020452,Hyperemia,0.153846154,0.102564103,-0.001484642,2.772727273,0.5681394
C0040427,Tooth Abnormalities,0.1,0.111111111,-0.001274373,2.755555556,0.7540995
C0020456,Hyperglycemia,0.55,0.121052632,-0.004074718,2.987878788,0.1435834
C0028326,Noonan Syndrome,0.705882353,0.235294118,-0.003292832,3.055555556,0.01928509
C0020459,Hyperinsulinism,0.1875,0.116666667,-0.002050743,2.715811966,0.2808964
C0013604,Edema,0.16,0.073333333,-0.003583206,2.805194805,0.8623802
C0019829,Hodgkin Disease,0.166666667,0.065359477,-0.003473106,3.058080808,0.1443979
C0005944,Metabolic Bone Disorder,0.181818182,0.109090909,-0.00325299,2.708333333,0.332261
C0005941,"Bone Diseases, Developmental",0.04,0.02,-0.002715255,2.963768116,0.8472493
C0042514,"Tachycardia, Ventricular",0.1,0.133333333,-0.001487577,2.666666667,0.2449293
C0013421,Dystonia,0.071428571,0.076923077,-0.002629161,2.705128205,0.06570885
C1168401,Squamous cell carcinoma of the head and neck,0.4,0.083333333,-0.010095208,3.04,0.0950407
C0034065,Pulmonary Embolism,0.272727273,0.145454545,-0.000839392,3.101851852,0.7536254
C0034069,Pulmonary Fibrosis,0.395833333,0.053191489,-0.004376911,2.936155043,0.1154902
C0037769,West Syndrome,0.133333333,0.066666667,-0.002160431,2.897435897,0.5005402
C2937358,Cerebral Hemorrhage,0.5,0.108465608,-0.004310868,2.850078493,0.5196599
C0035828,Romano-Ward Syndrome,0.714285714,0.197802198,-0.003105017,3.35,0.8183798
C0026640,Mouth Neoplasms,0.697674419,0.087486157,-0.016296016,2.758547009,0.3405857
C0023890,Liver Cirrhosis,0.484375,0.034722222,-0.009148685,3.040706605,0.9962797
C0028754,Obesity,0.365771812,0.006327255,-0.033242289,3.264806028,0.9183587
C0023892,Biliary cirrhosis,0.060606061,0.03219697,-0.003886608,3.13362069,0.7746415
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,0.454545455,0.061310782,-0.011723184,2.859671053,0.2076405
C0878544,Cardiomyopathies,0.655555556,0.034706617,-0.021007812,3.06697649,0.07339063
C1832200,Peroxisome biogenesis disorders,1,0.418181818,-0.000603028,N/A,0.255405
C0265965,Dyskeratosis Congenita,0.583333333,0.272727273,-0.001576816,2.8,0.4787726
C0041948,Uremia,0.294117647,0.125,-0.004875789,2.528787879,0.1131691
C0011581,Depressive disorder,0.189189189,0.046546547,-0.005709041,2.957619048,0.2720254
C0040053,Thrombosis,0.536585366,0.073170732,-0.002910299,2.86344697,0.8040783
C0027765,nervous system disorder,0.094339623,0.02467344,-0.007441374,2.811962834,0.5200192
C0024299,Lymphoma,0.19047619,0.057142857,-0.003996876,2.688644689,0.2262276
C0017661,IGA Glomerulonephritis,0.604444444,0.007057659,-0.070383528,3.146560169,0.04185394
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.538461538,0.192307692,-0.004178793,3.353741497,0.3311697
C0020672,"Hypothermia, natural",0.166666667,0.090909091,-0.001612016,3.109090909,0.3509755
C0086543,Cataract,0.333333333,0.104761905,-0.003125763,2.87755102,0.4781093
C0524909,"Hepatitis B, Chronic",0.133333333,0.066666667,-0.002047704,2.967032967,0.4200465
C0011609,Drug Eruptions,0.166666667,0.058823529,-0.002326588,3.071428571,0.9715144
C0346647,Malignant neoplasm of pancreas,0.058823529,0.022058824,-0.001499424,2.794871795,0.9375535
C0038356,Stomach Neoplasms,0.767605634,0.019683472,-0.076577004,3.30250706,0.000252904
C0029463,Osteosarcoma,0.461538462,0.062078273,-0.014901523,2.831086601,0.9409912
C0042900,Vitiligo,0.057142857,0.031932773,-0.003951945,2.86091954,0.7990188
C0038358,Gastric ulcer,0.111111111,0.104575163,-0.002249495,2.876373626,0.975827
C0021390,Inflammatory Bowel Diseases,0.08,0.008686869,-0.012854231,3.084809625,0.8916149
C0860207,Drug-Induced Liver Injury,0.420689655,0.013697318,-0.017347549,3.344169851,1
C0010278,Craniosynostosis,0.181818182,0.127272727,-0.00172757,2.755555556,0.09330668
C0079773,"Lymphoma, T-Cell, Cutaneous",0.428571429,0.138095238,-0.008849751,2.443452381,0.3125666
C0079772,T-Cell Lymphoma,0.727272727,0.327272727,-0.008614752,2.708333333,0.8881952
C0424295,Hyperactive behavior,0.161290323,0.038709677,-0.002460248,2.992,0.1638656
C0037268,Skin Abnormalities,0.2,0.133333333,-0.001869827,2.819444444,0.1421789
C0677886,Epithelial ovarian cancer,0.090909091,0.034632035,-0.004789065,2.84375,0.2832191
C0282527,Infantile Refsum Disease (disorder),1,0.397435897,-0.000839807,N/A,0.2093315
C0282525,"Adrenoleukodystrophy, Neonatal",1,0.397435897,-0.000839807,N/A,0.199376
C0019569,Hirschsprung Disease,0.1875,0.05,-0.000729968,3.182539683,0.9973877
C1720887,Female Urogenital Diseases,0.111111111,0.052287582,-0.003535556,2.99047619,0.230975
C0919267,ovarian neoplasm,0.623762376,0.042772277,-0.029574377,3.178155402,0.01416536
C0162871,"Aortic Aneurysm, Abdominal",0.272727273,0.181818182,-0.001443229,2.660714286,0.8614738
C0042487,Venous Thrombosis,0.65,0.163157895,-0.00133404,2.980769231,0.1465743
C0002622,Amnesia,0.176470588,0.095588235,-0.007527498,3.061965812,0.5617175
C0020557,Hypertriglyceridemia,0.214285714,0.098901099,-0.001099771,2.98989899,0.2453399
C0019080,Hemorrhage,0.1875,0.108333333,-0.002234663,2.797008547,0.1328649
C0038220,Status Epilepticus,0.492537313,0.040253279,-0.012137804,3.173744838,0.443273
C1561643,Chronic Kidney Diseases,0.045454545,0.008658009,-0.001428345,3.095238095,0.4696871
C0023473,"Myeloid Leukemia, Chronic",0.318181818,0.134199134,-0.00661266,2.531746032,0.07484693
C0023470,Myeloid Leukemia,0.411764706,0.154411765,-0.004780977,2.52987013,0.1156011
C0006663,Calcinosis,0.394736842,0.052631579,-0.005103849,2.919894598,0.4205195
C0003504,Aortic Valve Insufficiency,0.545454545,0.236363636,-0.00313148,2.744444444,0.3798918
C1960469,Left ventricular noncompaction,0.333333333,0.106060606,-0.002308787,2.6875,0.4595079
C0030567,Parkinson Disease,0.363636364,0.019015847,-0.018130032,3.025273701,0.2800428
C0014170,Endometrial Neoplasms,0.411764706,0.049411765,-0.012806857,2.87993488,0.1446081
C0243026,Sepsis,0.333333333,0.123809524,-0.005246059,3.062049062,0.9701305
C0014175,Endometriosis,0.52173913,0.01886646,-0.030302237,3.256285037,0.4503255
C0014859,Esophageal Neoplasms,0.671428571,0.051345756,-0.02420388,3.108373771,0.6461796
C0341106,Eosinophilic esophagitis,0.05,0.015789474,-0.001724577,3.075,0.7085765
C0005684,Malignant neoplasm of urinary bladder,0.125,0.066666667,-0.002409582,2.868131868,0.184791
C0752347,Lewy Body Disease,0.526315789,0.14619883,-0.009450717,2.597777778,0.08549568
C3160718,"PARKINSON DISEASE, LATE-ONSET",0.333333333,0.076190476,-0.004065492,2.648809524,0.1799231
C0311375,Arsenic Poisoning,0.283333333,0.023163842,-0.011435184,3.003843398,0.01967438
C0007621,Neoplastic Cell Transformation,0.594339623,0.040431267,-0.033937143,2.934458969,1
