UniProt ID(supplied by UniProt)	NCBI Gene ID(supplied by NCBI)
	100132526
Q6ZV73	55785
P05230	2246
P09038	2247
P11487	2248
P08620	2249
P12034	2250
P10767	2251
P21781	2252
	387559
	394217
	654466
	728195
	653453
	387628
	728433
	100113421
P55075	2253
P31371	2254
O15520	2255
	101927075
Q92914	2256
P61328	2257
	100873986
	100873987
	100873988
Q92913	2258
	100129662
Q92915	2259
	100874081
	283481
	283480
O43320	8823
O60258	8822
O76093	8817
O95750	9965
Q9NP95	26281
Q9NSA1	26291
Q9HCT0	27006
Q9GZV9	8074
Q14512	9982
Q9BYJ0	83888
Q8TAT2	143282
P11362	2260
O95684	11116
Q9NVK5	26127
	100873883
P21802	2263
P22607	2261
	100462812
	100462815
	100462816
	100420833
	100420952
	100420881
P22455	2264
Q8N441	53834
P02679	2266
Q96C11	55277
Q08830	2267
Q14314	10875
P09769	2268
P07954	2271
B1AJZ9	114827
	101927417
Q9C0D6	85462
P49789	2272
Q13642	2273
Q14192	2274
Q13643	2275
Q5TD97	9457
Q9Y613	29109
Q2V2M9	80206
	100873790
Q8N539	84929
Q8TAL6	387758
O43427	9158
Q9BVA6	11153
Q92562	9896
Q6QHK4	344018
Q5HY92	55137
Q6PIW4	63979
A6NMB9	401720
	105369971
Q7Z7B0	27145
Q4L180	11259
	100132735
Q6UN15	81608
	286467
Q9Y3D6	51024
A5D6W6	161247
Q8N6M3	128486
Q96SL8	84922
Q86VR8	24147
P62942	2280
	100528031
	2282
	2283
	2284
	2285
P68106	2281
	107984636
	642489
P26885	2286
Q00688	2287
Q02790	2288
	100132656
	389727
	100132268
	441410
	643880
Q13451	2289
O75344	8468
Q9Y680	51661
Q14318	23770
O95302	11328
Q75LS8	360132
Q96AY3	60681
Q9NYL4	51303
Q9NWM8	55033
Q5T1M5	23307
Q9UIM3	63943
Q9H9S5	79147
O75072	2218
Q96Q35	130540
Q8NFF5	80308
Q8NFG4	201163
P20930	2312
	339400
Q5D862	388698
Q01543	2313
	110437700
Q13045	2314
P21333	2316
O75369	2317
	105377105
Q14315	2318
	110806300
O75955	10211
Q14254	2319
Q9NZU1	23769
O43155	23768
Q9NZU0	23767
P17948	2321
	391533
P36888	2322
P49771	2323
P35916	2324
Q9Y5Y0	28982
Q8TAF5	642946
Q9UPI3	55640
Q4VC44	84256
	100130898
Q96CP2	114984
Q96HJ9	154791
	100996928
Q68DA7	342184
Q9NZ56	56776
O95466	752
Q96PY5	114793
Q8IVF7	91010
Q01740	2326
Q99518	2327
P31513	2328
P31512	2329
P49326	2330
O60774	388714
	100337589
	100129007
	116123
	100128181
	100337590
Q06828	2331
Q06787	2332
	100126270
	106478973
Q8N0W7	158521
P02751	2335
Q9H479	64122
Q9HA64	79672
Q96RU3	23048
Q5T0N5	54874
	100533642
	100419875
Q8N3X1	23360
Q4ZHG4	84624
	100874312
Q9Y2H6	22862
Q53EP0	64778
	100421340
Q9H6D8	64838
Q8NAU1	252995
Q5VTL7	163479
Q8TC99	54752
Q8TBE3	408263
F2Z333	643988
Q9BVV2	79025
Q8TF40	96459
Q9P278	57600
P49354	2339
	283226
	2341
P49356	2342
Q5VW36	54914
	101929548
Q04609	2346
Q9HBA9	219595
P15328	2348
	390221
P14207	2350
P41439	2352
	100288543
Q96NB1	123811
P01100	2353
P53539	2354
P15407	8061
	100419062
P15408	2355
P55317	3169
Q9Y261	3170
P55318	3171
Q99853	27023
Q5VYV0	442425
Q12948	2296
Q99958	2303
	103752587
	101927703
Q16676	2297
	106144539
O60548	2306
	84793
Q9UJU5	27022
	100996301
Q12950	2298
Q9NU39	200350
Q6VB84	286380
Q8WXT5	349334
Q5VV16	653427
Q3SYB3	653404
O00358	2304
Q13461	2301
Q12946	2294
Q12947	2295
P55316	2290
	103695363
O75593	8928
Q12951	2299
Q6ZQN5	399823
A8MTJ6	344167
Q92949	2302
Q9P0K8	55810
Q9UPW0	22887
P85037	221937
Q01167	3607
Q12952	2300
P58012	668
Q6ZUU3	401089
	116033993
	100288524
Q08050	2305
O15353	8456
P32314	3344
O00409	1112
	400236
	29018
	643976
Q96NZ1	121643
Q12778	2308
	2311
O43524	2309
A0A2Z4LIS9	2310
P98177	4303
A8MYZ6	100132074
	101929901
Q9H334	27086
	104502416
	100506815
O15409	93986
Q9BZS1	50943
Q8IVH2	116113
	101060264
Q9C009	94234
Q6PIV2	283150
Q6PJQ5	139628
Q96CU9	55572
Q8IWF2	80020
O43638	2307
Q05932	2356
O14772	8790
	100526835
P21462	2357
P25090	2358
P25089	2359
	2360
	2361
	2362
	2363
	2364
	2365
	2366
	2367
	2368
	2369
	2370
	2371
	2372
	2373
	2374
	2375
	2376
	2377
	2378
	2379
	2380
	2381
	2382
	2383
	2384
	2386
	2387
	2388
	2389
	2390
	2391
	2393
	2394
	2396
	2397
	2398
	2399
	2400
	2401
	2402
	2403
	2404
	2405
	2406
	2407
	2408
	2409
	2410
	2411
	2412
	2413
	2414
	2415
	2416
	2417
	2418
	2419
	2421
	2422
	2423
	2425
	2426
	2427
	2428
	2429
	2430
	2431
Q70Z53	118924
	2432
	2433
	2434
	2435
	2436
	2437
	2438
	2440
	2441
	2442
	2443
	2445
	2446
	2447
	2448
	2449
	2450
	2451
	2452
	2453
	2454
	2455
	2456
	2457
	2458
	2459
	2460
	2461
	2462
	2463
	2464
	2465
	2466
	2467
	2468
	116710
	2469
	2470
	2471
	2472
	2473
	2474
Q86XX4	80144
Q92837	10023
O75474	23401
	2477
	2478
	2479
	2480
	2481
Q5H8C1	158326
Q5SZK8	341640
	100874073
P0C091	166752
Q14331	2483
	728339
	284802
	100289097
	102723316
	102723390
	102723780
	101930531
	100132352
	642236
	102724923
Q64ET8	448831
Q96QU4	441581
A6NGY1	100288801
	146481
	647476
	100128827
	106480321
	101059920
	106480351
	101059926
	102724018
	106480352
	106481739
	106481742
P42685	2444
Q8N878	79981
A2A2Y4	257019
Q9P2Q2	55691
Q9Y2L6	23150
Q7Z6J6	84978
Q96NE9	122786
P0C7T7	145438
	100874185
Q6ZUT3	90167
Q9BZ67	83786
Q9BZ68	83957
Q5SYB0	22844
Q68DX3	143162
Q6IN97	728798
Q5JV73	84443
	100874122
Q14CM0	9758
	100874121
Q6ZNA5	391059
Q9P0K9	23732
Q8WU20	10818
O43559	10817
Q5TBA9	10129
	100507099
O94915	285527
Q92765	2487
O95073	100861412
Q5H9T9	84075
Q16658	6624
	145989
O14926	25794
Q9NQT6	29999
Q9BTV5	79187
Q9BXM9	83856
A1L4K1	123722
P01225	2488
P23945	2492
Q8NA03	161835
Q5CZC0	401024
	107985781
	101927196
P19883	10468
Q12841	11167
O95633	10272
Q6MZW2	23105
Q8N475	56884
O95954	10841
	100861507
E5RQL4	348751
P02794	2495
	2496
	2497
	2498
	2499
	2509
	106481787
	2500
	2501
	106478936
	2502
	2503
	2504
	646362
	139431
	2507
	2508
P0C7X4	389844
	729009
	2510
	100462772
	100420300
	100462797
	100462799
	100420303
	100270709
Q9BXU8	53940
	441490
P02792	2512
	170514
	392437
	284764
	100129251
	100131661
	100462788
	441623
	100462790
	100462780
	100130017
	100289501
	100462792
	100462793
	100462794
	442304
	100420158
	642337
	100462786
	100873960
Q8N4E7	94033
Q9C0B1	79068
	100505692
	100874223
Q9UET6	24140
Q8IY81	117246
	100302692
Q96AE4	8880
Q96I24	8939
P04066	2517
	2518
Q9BTY2	2519
Q8IVP5	139341
Q9BWH2	65991
	220793
	388965
	644625
	100127979
A2VDF0	282969
P09958	5045
P35637	2521
P19526	2523
Q10981	2524
P21217	2525
P22083	2526
Q11128	2527
P51993	2528
Q11130	2529
Q9BYC5	2530
	645431
Q9Y231	10690
Q6P4F1	84750
Q495W5	170384
Q9BT04	80199
Q16595	2395
	122942
	100418706
P51114	8087
P51116	9513
O00168	5348
P54710	486
Q14802	5349
P59646	53828
Q96DB9	53827
Q9H0Q3	53826
	100533181
	100128934
	100128512
P58550	406875
P58549	53822
O15117	2533
Q5VWT5	199920
Q9BQS8	79443
P06241	2534
Q96QD9	84248
	100128665
Q9UP38	8321
Q14332	2535
Q9NPG1	7976
Q9ULV1	8322
	100506368
Q13467	7855
O60353	8323
O75084	8324
Q9H461	8325
O00144	8326
Q9ULW2	11211
	440119
Q9UM11	51343
Q7L622	55632
	105370431
Q13283	10146
	100422338
Q9UN86	9908
P35575	2538
Q9NQR9	57818
Q9BUM1	92579
P11413	2539
	2541
P10253	2548
Q13480	2549
Q9UQC2	9846
Q8WWW8	139716
Q2WGN9	128954
O95166	11337
Q9H0R8	23710
P60520	11345
Q9BY60	23766
Q9UBS5	2550
O75899	9568
Q06546	2551
	8327
Q06547	2553
	100129387
	55056
Q8TAK5	126626
P14867	2554
P47869	2555
P34903	2556
P48169	2557
P31644	2558
Q16445	2559
P18505	2560
P47870	2561
P28472	2562
O14764	2563
P78334	2564
Q8N1C3	2565
P18507	2566
Q99928	2567
	101928869
O00591	2568
Q9UN88	55879
P24046	2569
P28476	2570
A8MPY1	200959
	104326057
	100287082
	104797537
Q99259	2571
Q05329	2572
P24522	1647
	1648
O75293	4616
O95257	10912
Q8TAE8	90480
Q6ZQY3	339896
Q13065	2543
Q6NT46	729447
Q13066	645037
Q13066	2574
Q9UEU5	729408
Q4V326	26749
	2576
Q13069	2577
Q13070	2578
O76087	2579
Q9UEU5	100101629
A6NGK3	102724473
A1L429	729428
A1L429	729422
A1L429	100132399
A1L429	729431
P0CL80	100008586
P0CL81	645073
A6NDE8	729442
P0CL82	26748
A6NER3	729396
Q4V321	645051
O14976	2580
P22466	51083
Q99999	9514
Q9H3Q3	64090
Q96A11	89792
Q96RP7	79690
P54803	2581
Q14376	2582
P51570	2584
Q01415	2585
Q96C23	130589
P34059	2588
Q10472	2589
Q10471	2590
Q14435	2591
Q8N4A0	8693
Q7Z7M9	11227
Q8NCL4	11226
Q86SF2	51809
Q9NY28	26290
Q9HCQ5	50614
Q86SR1	55568
Q8NCW6	63917
Q8IXK2	79695
Q8IUC8	114805
Q96FL9	79623
Q8N3T1	117248
Q8N428	57452
Q6IS24	64409
Q6P9A2	374378
Q7Z4T8	168391
Q49A17	442117
	101928314
Q9UBC7	85569
P47211	2587
O43603	8811
O60755	8484
P07902	2592
Q14353	2593
	391491
	100129452
Q9H2C0	8139
Q14697	23193
Q8TET4	2595
P17677	2596
P04406	2597
	2616
	170516
	54050
	642317
	387491
	360008
	140028
	343338
	389970
	390421
	391075
	391162
	391367
	392374
	401960
	441572
	441893
	643228
	643739
	644213
	644237
	646877
	647001
	647249
	651258
	729493
	100128589
	100131743
	100131935
	100240707
	100240708
	100240709
	100240710
	100240711
	100240712
	100240713
	100421189
	100421236
	100421271
	100421313
	100421318
	100421319
	100421324
	100421232
	100421188
	391077
	645024
	2601
	729403
	100128961
	442231
	391069
	389849
	645256
	2609
	100132601
	2611
	642259
	2613
	346085
	442262
	391073
	100652918
	100287725
O14556	26330
	100505592
Q8N292	202309
Q14C86	26130
Q9NY12	54433
Q9H706	64762
Q75VX8	150946
Q5VVW2	84253
	401320
P41250	2617
	100419764
P22102	2618
P54826	2619
	100506834
O43903	2620
Q99501	10634
	101927222
	340508
Q8NHY3	246176
Q86XJ1	283431
	60674
	100506046
Q14393	2621
	650669
	100506394
O60861	8522
O95995	2622
O95177	750
	401472
Q9UFP1	729085
Q6UWH4	51313
P01350	2520
P15976	2623
P23769	2624
	101927167
P23771	2625
	399717
P43694	2626
Q9BWX5	140628
Q92908	2627
	100128893
Q8WUU5	57798
Q86YP4	54815
Q8WXI9	57459
O75879	5188
O43716	283459
Q8NB37	347862
P0DPI2	8209
A0A0B4J2D5	102724023
P50440	2628
	101929549
P04062	2629
Q9HCG7	57704
Q9H227	57733
	2630
Q04446	2632
Q92538	8729
Q8N5D6	26301
P32455	2633
	400759
P32456	2634
Q9H0R5	2635
Q96PP9	115361
Q96PP8	115362
Q6ZN66	163351
Q8N8V2	388646
Q14549	2636
P52951	2637
P02774	2638
P28676	25801
	112441427
O75600	23464
	319140
Q96CN9	79571
Q8IWJ2	9648
	644903
Q92947	2639
P16383	6936
P01275	2641
P47871	2642
P30793	2643
P30047	2644
P35557	2645
Q14397	2646
P48506	2729
P48507	2730
Q9NP62	8521
O75603	9247
Q92616	10985
Q96QF7	93953
	100419929
Q02742	2650
	170517
	100421560
	100421581
	100462829
	100421598
Q8N0V5	2651
	644378
O95395	9245
Q9P109	51301
Q6ZNI0	140687
	145781
Q9BZD3	339970
Q8N6F7	257144
Q5JQS6	148823
	148824
P23434	2653
	106480441
	100288298
	100329109
	100287495
	100329108
	151484
Q9Y2T3	9615
Q8TB36	54332
Q96MZ0	78997
Q9NXN4	54834
Q9NZC3	51573
P27539	2657
Q9UK05	2658
Q9NR23	9573
P43026	8200
Q5U4N7	554250
Q6KF10	392255
Q7Z4P5	151449
O60383	2661
P55107	2662
O95390	10220
Q99988	9518
P31150	2664
P50395	2665
	2667
	100420259
P39905	2668
	100861519
Q8N9F7	284161
Q9HCC8	54857
Q7L5L3	79153
Q6W3E5	220032
Q8WTR4	81544
Q6ZNW5	390637
P55040	2669
O14893	8487
	101929669
	100287063
P57678	50628
Q8TEQ6	25929
Q8WXD5	79833
Q9H840	79760
	105372419
Q9NWZ8	54960
	100128431
	644600
	100421535
	492303
Q17RS7	348654
O00258	7485
	106865373
O43681	439
Q7L5D6	51608
P14136	2670
P55789	2671
Q99684	2672
Q5VTD9	8328
Q96RP9	85476
Q969S9	84340
Q9NXC2	54438
	100874025
Q3B7J2	81577
Q06210	2673
O94808	9945
P56159	2674
O00451	2675
O60609	2676
Q9GZZ7	64096
Q6UXV0	389400
I3L273	100507003
Q9UJY5	26088
Q9UJY4	23062
Q9NZ52	23163
Q9BVM4	87769
O75223	79017
	100528061
	100529052
	100528063
P38435	2677
Q92820	8836
Q86UU5	199720
Q5YKI7	449520
Q9H3C7	79893
O95749	9453
P19440	2678
P36268	728441
A6NGU5	2679
	643171
P36269	2687
Q6P531	124975
Q9UJ14	2686
	645367
Q4G0N0	2681
	121328
Q9BX51	92086
Q14390	91227
B5MD39	728226
	729838
	653590
P01241	2688
P01242	2689
Q8N2G8	84514
	102723099
Q9H3K2	27069
P10912	2690
P01286	2691
Q02643	2692
Q9UBU3	51738
	100126793
Q92847	2693
Q8IVV7	79018
Q9NWU2	54994
O75420	64599
Q6Y7W6	26058
	100506844
Q8WWP7	170575
	100527949
Q9UG22	26157
	474345
Q9NUV9	55303
Q96F15	55340
Q6P9H5	474344
Q8NHV1	168537
Q8ND71	155038
P0DJR0	100507096
Q9NXP7	54826
Q9NU53	116254
Q14691	9837
Q9Y248	51659
Q9BRX5	64785
Q9BRT9	84296
P09681	2695
O14908	10755
Q8TF65	54810
Q8TF64	126326
P48546	2696
Q9Y2X7	28964
Q14161	9815
P17302	2697
	2698
Q9Y6H8	2700
P35212	2701
P36382	2702
	100126825
P48165	2703
P57773	81025
Q969M2	84694
P08034	2705
P29033	2706
O75712	2707
Q9NTQ9	127534
O95377	2709
O95452	10804
Q6PEY0	375519
P36383	10052
Q5T442	57165
Q8NFK1	349149
Q9UKL4	57369
Q8N144	125111
Q96KN9	219770
A6NN92	100126572
P32189	2710
	100873902
	106480740
Q14410	2712
Q14409	2713
	2716
Q6ZS86	256356
	201989
Q5VSY0	80318
Q9NS71	56287
Q86XP6	200504
P0CG01	100132413
P06280	2717
P16278	2720
Q6UWU2	79411
Q8IW92	89944
Q8NCI6	112937
Q86VQ1	113263
	100505921
O94923	26035
P23378	2731
	2732
Q6ZMI3	342035
Q53GS7	2733
Q92896	2734
P08151	2735
P10070	2736
P10071	2737
P10075	2738
	389741
P48060	11010
Q6UWM5	256710
Q4G1C9	144321
Q9H4G4	152007
Q8NBF1	148979
Q9BZE0	84662
	101926896
Q8NEA6	169792
	84850
Q92990	11146
Q8WWB7	112770
Q04760	2739
Q9HC38	51031
A6NK44	392465
P43220	2740
O95838	9340
P23415	2741
P23416	2742
O75311	8001
	441509
P48167	2743
P35754	2745
Q9NS18	51022
O76003	10539
	100418908
	728344
Q86SX6	51218
	170522
	171418
	100132510
O94925	2744
Q9UI32	27165
Q96MS3	144423
Q7Z4J2	360203
Q68CQ7	55830
Q9H1C3	83468
Q9NZD2	51228
A6NH11	388323
	645312
P00367	2746
	414212
	2749
	2750
	2751
	414213
	100131281
P49448	2747
P15104	2752
	2753
	2754
	401708
	392305
	100421694
	343981
Q6IB77	10249
Q969I3	92292
A0A0U1RQE8	100287520
	100129032
	100129933
	643637
Q8WU03	219970
Q5SZD4	389396
Q8IVK1	644076
Q8IVS8	132158
	100874110
Q49A26	84656
P17900	2760
	2761
	100287900
Q96IK5	64395
	100420975
Q8NEA9	64396
O60547	2762
	100508120
Q9Y692	10691
Q9UKD1	26205
P60983	2764
	100499251
O60234	9535
Q9P107	51291
Q99445	2765
A6NCL1	647309
O75496	51053
Q96IJ6	29926
Q9Y5P6	29925
P36959	2766
Q9P2T1	51292
P49915	8833
	728564
P29992	2767
Q03113	2768
Q14344	10672
O95837	9630
	101927422
P30679	2769
P63096	2770
P04899	2771
	2772
	401646
P08754	2773
P38405	2774
P09471	2775
P50148	2776
	2777
O95467, P63092, P84996, Q5JWF2	2778
	149775
P11488	2779
P19087	2780
A8MTJ3	346562
P19086	2781
P62873	2782
Q9BYB4	54584
P62879	2783
P16520	2784
Q9HAV0	59345
O14775	10681
Q9Y223	10020
P59768	54331
P63215	2785
P50150	2786
P63218	2787
	2789
	347687
	100101932
	100101933
	100101935
O60262	2788
Q9UK08	94235
P50151	2790
	100526656
P61952	2791
Q9UBI6	55970
	100289178
Q9P2W3	51764
A0A1W2PPG7	105372280
P63211	2792
O14610	2793
P36915	2794
Q13823	29889
	100270790
Q9BVP2	26354
Q9NVN8	54552
	80060
P22749	10578
Q14749	27232
O15228	8443
	100130060
P46926	10007
Q8TDQ7	132789
Q96EK6	64841
Q3T906	79158
Q9UJJ9	84572
P01148	2796
O43555	2797
P30968	2798
Q96P88	114814
	404718
P15586	2799
Q92805	2800
Q08379	2801
	100418751
	84559
	401634
	100873742
Q9HBQ8	55592
	729668
	388152
	728477
	440518
	80154
	255180
Q08378	2802
Q13439	2803
	192131
	192132
	192130
Q8TBA6	9950
	100418736
Q9NYA3	342096
A6NDN3	55889
A6NDK9	653641
P0CG33	653643
Q8N7Z2	283767
Q8N9W4	283685
A6NEY3	100133220
A6NEF3	643707
	374650
A8MZA4	727832
A0A1B0GV03	728310
A6NEM1	440295
A6NI86	647042
	360024
	360025
	360026
	360027
	100287845
	642402
H0YKK7	101927601
H0YM25	440243
Q7Z5G4	51125
Q2TAP0	401647
A7E2F4	23015
A8MQT2	440270
A6NN73	729786
Q0D2H9	100132979
	390535
Q08AF8	100132565
Q08AF8	283768
P0CJ92	728498
A6NC78	283796
A6NMD2	653073
D6RF30	653125
H3BSY2	653720
F8WBI6	643699
A6NCC3	728047
H3BV12	727909
I6L899	101059918
H3BPF8	653061
H3BQL2	653075
	100507067
	441736
Q14789	2804
O00461	27333
Q8NBJ4	51280
Q9H4A6	64083
Q9H4A5	55204
Q6ZVE7	127845
Q9Y3E0	51026
Q3T8J9	54856
Q9BXV9	84520
Q9HD26	57120
Q5T7V8	92344
	101928650
Q9BQQ3	64689
Q9H8Y8	26003
O95249	9527
O14653	9570
P17174	2805
Q8NHS2	137362
P00505	2806
	645538
	391139
	644138
	121520
	100422625
P07359	2811
P13224	2812
P55259	2813
P40197	2814
Q9HCN6	51206
P14770	2815
Q99795	10223
O43292	8733
	22945
	106481722
Q8IXQ4	55425
Q9HCL2	57678
O95872	7918
Q6NUI2	150763
	643219
	653924
Q53EU6	84803
Q86UL3	137964
Q9BRR8	55094
Q9NW75	55105
Q9NWQ4	55668
Q96I76	63906
Q5T3I0	54865
Q9UKJ3	23131
Q8N954	253635
Q8TDU6	151306
Q86WP2	65056
Q9HC44	60313
P35052	2817
Q8N158	221914
P51654	2719
	110806308
O75487	2239
P78333	2262
	100873969
	100873970
	100874293
Q9Y625	10082
	100873972
	100873973
Q9NPB8	56261
P21695	2819
Q8N335	23171
P43304	2820
Q99527	2852
Q96T91	170589
Q86YW7	122876
Q9NQX3	10243
P06744	2821
Q8IV16	338328
Q92917	27238
P80108	2822
P51674	2823
Q13491	2824
	106480720
	106480426
	100873787
Q9HCN4	11321
Q9H9Y4	54707
Q9UHW5	51184
	100302689
Q14956	10457
P46091	2825
	101669764
P46089	2827
P46093	2828
P46095	2830
P47775	2835
P49685	2838
Q13304	2840
Q14330	2841
Q15760	2842
Q99678	2843
Q99679	2844
Q99680	2845
O00155	2848
Q8NDV2	2849
Q9NS67	2850
O00270	2853
O75388	2854
Q8NGA4	2855
Q49SQ1	2856
Q9UPC5	2857
Q9HC97	2859
	2860
O15354	2861
O60883	9283
O43194	2863
O15529	2866
Q9Y5Y3	11250
Q13585	9248
	100128688
Q9Y2T5	9293
	9292
Q9Y2T6	9290
Q9BZJ8	83873
Q9BZJ7	118442
Q9BZJ6	81491
Q8IYL9	8477
Q15743	8111
O95800	10936
	100302652
Q96P69	27201
	27200
Q96P67	27197
Q9NYM4	10888
Q9NQS5	53831
P60893	54329
Q9BY21	53836
Q9GZN0	54112
B7ZAQ6	653519
P0CG08	51463
	394254
Q96P66	83550
Q5VW38	57720
Q9NPR9	56927
Q8TDV5	139760
Q9UNW8	29933
Q8IZ08	64582
Q96N19	56834
O60478	7107
Q8N3F9	283554
Q6DWJ6	124274
Q7Z602	353345
	100420413
Q7Z601	350383
P51810	4935
	352896
Q96CH1	115330
Q8TDV2	344561
Q86SP6	344758
Q8NGU9	285601
Q8TDV0	134391
Q8TDT2	390212
Q6NV75	387509
Q7Z3F1	151556
Q8NFN8	165829
Q5UAW9	80045
Q5T848	57512
	100128811
Q9UJ42	26996
	100130649
	100420482
Q8N6U8	23432
Q16538	27239
	392486
	442206
O14626	29909
Q9NS66	54328
Q9BXC1	84636
Q14439	11245
	100505534
Q6PRD1	440435
Q86V85	160897
O15218	11318
P32249	1880
	401554
Q5JY77	9737
Q96D09	114928
Q8NFJ5	9052
Q9NZH0	51704
Q9NQ84	55890
Q9NZD1	55507
	100506314
Q5T6X5	222545
Q7Z2K8	114787
O60269	9721
Q6ZVF9	285513
Q13098	2873
Q13227	2874
	392281
	100132058
Q86YR5	26086
P81274	29899
Q9Y4H4	63940
P24298	2875
Q8TD30	84706
P07203	2876
	441481
	2884
P18283	2877
P22352	2878
P36969	2879
O75715	2880
P59796	257202
Q96SL4	2882
Q8TED1	493869
Q96CP6	57655
Q3KR37	57476
Q8IYS0	54762
Q8IUY3	196996
Q96HH9	65983
Q6IC98	23151
	100631252
	100873881
	100631248
	106480248
	100631249
	100631250
	100631251
	100631247
Q13588	10750
O75791	9402
Q8TC17	400581
Q7Z6J2	160622
	692159
P62993	2885
Q14451	2886
Q13322	2887
Q14449	2888
Q4ZG55	9687
Q9C091	80000
O60565	26585
Q9H772	64388
Q9NZI5	29841
Q6ISB3	79977
Q8TE85	57822
	105376871
Q9UBQ7	9380
P42261	2890
P42262	2891
P42263	2892
P48058	2893
Q9ULK0	2894
	100507470
O43424	2895
A4D2P6	392862
A4D1Z8	402635
P39086	2897
	642976
	100379661
Q13002	2898
Q13003	2899
Q16099	2900
Q16478	2901
Q05586	2902
Q12879	2903
Q13224	2904
Q14957	2905
O15399	2906
Q8TCU5	116443
O60391	116444
Q7Z429	2907
Q9Y3R0	23426
Q9C0E4	80852
Q4V328	56850
Q15835	6011
P25098	156
P35626	157
P32298	2868
P34947	2869
	101927868
P43250	2870
	2871
Q8WTQ7	131890
Q13255	2911
Q14416	2912
Q14832	2913
	112268007
Q14833	2914
P41594	2915
	100873989
O15303	2916
Q14831	2917
	100873937
	105376946
	101927347
O00222	2918
	101928333
P28799	2896
P07492	2922
Q9HAV7	80273
Q8TAA5	134266
	106144529
	100874360
	100129994
	100129871
P30550	2925
Q12849	2926
Q5TC63	79774
	100874068
Q9BQ67	83743
A8MXD5	389207
A6NFK2	643226
P27469	50486
A4D1B5	54103
P56915	145258
	108868751
O15499	2928
Q96QA5	284110
Q8TAX9	55876
Q9BYG8	56169
P57764	79792
O60443	1687
Q14687	23199
	399972
Q2KHT4	83445
Q6UXU4	146395
A8MUP6	644070
P49840	2931
P49841	2932
Q9P0R6	51527
P06396	2934
Q9NRJ2	57000
P15170	2935
Q8IYD1	23708
P00390	2936
P48637	2937
P08263	2938
P09210	2939
Q16772	2940
O15217	2941
Q7RTV2	221357
	2942
	730152
	100420627
	100174857
	647177
	647175
	647169
Q8NEC7	79807
	101929529
Q9Y2Q3	373156
P09488	2944
P28161	2946
	442245
P21266	2947
	170523
	100421057
Q03013	2948
P46439	2949
	100505557
P78417	9446
Q9H4Y5	119391
	344813
P09211	2950
	2951
P30711	2952
	106099130
P0CG29	2953
P0CG30	653689
A0A1W2PR19	25774
	653399
O43708	2954
Q9H4S2	219409
Q9BZM3	170825
Q4AE62	79712
P52655	2957
Q9UNN4	11036
P52657	2958
Q00403	2959
P29083	2960
P29084	2961
P35269	2962
P13984	2963
	2964
	728633
P32780	2965
Q13888	2966
	653238
Q6P1K8	728340
Q6P1K8	730394
Q13889	2967
Q92759	2968
Q6ZYL4	404672
P78347	2969
	2970
	338448
	645686
	100093631
	100420546
	101927390
	101927126
	101927717
	106481734
	107403151
	106480346
	101926918
	101929008
	106481735
	107403154
	107403156
	107403157
	441124
	106480347
	101929580
Q9UHL9	9569
	729156
Q86UP8	84163
Q6EKJ0	389524
	401375
Q92664	2971
	100135064
	106480682
	112323209
	100420593
	100128217
	100135063
Q12789	2975
Q8WUA4	2976
	100505624
Q9Y5Q9	9330
Q9UKN8	9329
Q9Y5Q8	9328
Q969F1	112495
O00178	9567
Q9BX10	54676
Q969Y2	84705
Q9BZE4	23560
O43824	8225
Q8N3Z3	29083
A4D1E9	85865
Q86UQ5	220158
Q9NYZ3	51512
	150384
Q8WW33	121355
Q9H1H1	149699
P43080	2978
Q9UMX6	2979
O95843	9626
Q02747	2980
Q16661	2981
Q96NT3	83606
Q02108	2982
P33402	2977
Q02153	2983
O75343	2974
P25092	2984
Q02846	3000
	390226
P51841	2986
	390003
Q8N442	60558
Q16774	2987
	2988
	2989
Q9UBP9	51454
P08236	2990
Q15486	728411
	387036
	653188
	375513
	441046
	653435
	100132456
	441066
	100049076
	642006
Q6P575	91316
	642007
	100287046
	11039
	11042
	653080
Q7Z2Y8	387751
	100128135
Q8N7I0	101362076
Q3ZCU0	100506127
Q4G148	283464
	100101111
	441958
	100132541
	100132441
	100131760
	100132672
A0PJZ3	727936
P46976	2992
	100132965
	647317
	645506
O15488	8908
	100873938
	352887
	100418892
P02724	2993
P06028	2994
P04921	2995
P15421	2996
P13807	2997
P54840	2998
Q9H116	64412
P12544	3001
	106479035
P10144	3002
P20718	2999
P49863	3003
P51124	3004
P07305	3005
Q02539	3024
P16403	3006
P16402	3007
P10412	3008
P16401	3009
P22492	3010
Q75WM6	341567
Q8IZA3	132243
P60008	373861
Q92522	8971
	387325
Q4G0G2	339942
P0C5Y9	474382
P0C5Z0	474381
P0C5Z0	83740
Q96QV6	221613
	387319
	85303
P04908	8335
	10341
Q93077	8334
P20671	3013
P04908	3012
	387323
	8333
P0C0S8	8969
Q96KK5	85235
P0C0S8	8329
Q99878	8331
P0C0S8	8330
P0C0S8	8332
P0C0S8	8336
Q6FI13	8337
Q6FI13	723790
Q16777	8338
Q8IUE6	317772
	100509927
	115482716
Q9BTM1	55766
	115482714
	115482686
	115482687
O75409	25763
	115482715
Q7L7L0	92815
P16104	3014
P0C0S5	3015
	256880
Q71UI9	94239
	654500
	54049
	346990
	728023
	100462795
	100288330
	100462800
	115482726
Q96A08	255626
	100288742
P33778	3018
P62807	8347
P58876	3017
P62807	8344
